Response Datetime,Position Justification,Draft Feedback,Other Chartacteristics,Zip Code,Birth Year Range,Source to Discuss Denton,Other Source to Discuss Denton,Type of Projects Interest,Other Type of Projects Interest,Add to City Email List,Response ID,City Residency,Property Ownership,Business Ownership,Student Status,Rentership,Work Locus,Ordinance Position
14:48.0,"Not clear if this includes the city of Denton as an employer or not. If Denton is considered a political subdivision of the State of Texas, they should not pass this while excempting themselves of its requirements. If the City of Denton is going to be bound by this, then I support it.",Make a requirement for job postings to have salary ranges if based in Denton.,,76208,1980 - 2009,,,"Public Safety (Police, Fire, Emergency Preparedness, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,745246,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
36:00.0,"I am in opposition of the ordinance or a need for an ordinance. It has not been my observation that there is any discrimination in the City of Denton. Having lived here all my life, attended public schools and university and being of sound mind and good upbringing having the government interfere with our lives in any regard is most distasteful. These are just extra rules for control of the citizens of the City of Denton, its businesses and its venues. If you follow the science, there is only two genders, male and female, to say otherwise is to disregard God, nature, and science. A person should be able to function in society regardless of what they wear, the law still applies to us all. A man should go to a man's bathroom and a woman to a woman's bathroom. Bringing God back into the picture and following our Judeo-Christian values as our nation's founders did will eliminate much of this controversy.",,,None provided,1950 - 1979,Family or Friend,,"Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,745308,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
05:41.0,"I believe that it is important to codify regulations such as the Comprehensive Non-Discrimination Ordinance so that all people can feel comfortable living and working in Denton.   Without ordinances such as these, many marginalized people may feel unwelcome to express who they truly are.  They may feel as though they are overlooked or discriminated against for aspects of themselves that cannot be changed.  It is our government's job to ensure that anyone that desires to live/work here feels comfortable doing so without risk of prejudice.  I deeply value the diversity among the population of Denton and wish to continue seeing our community thrive.",I'm hopeful that the burden of proof for discriminatory practices is not able to be sidestepped easily.,,76207,1980 - 2009,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,No,747708,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Support
19:08.0,It’s very needed document that shows denton supports all of its people,,,76210,1980 - 2009,City Social Media Account,,,,No,748212,Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
51:51.0,I believe our community should do everything we can to ensure that all of our citizens and visitors are welcomed and valued.,,,76201,1950 - 1979,Family or Friend,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Parks and Recreation, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,,748317,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
26:06.0,,,,76209,1950 - 1979,City Social Media Account,,,,,750111,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
32:38.0,This ordinance would support the safety of our folks who are  vulnerable to hate and discrimination.,,,76201,1980 - 2009,City Social Media Account,,"Community/Neighborhood Programs, Parks and Recreation",,Yes,750657,Resident,Property Owner,Non Business Owner,Student,Non Renter,Works outside Denton,Support
56:59.0,,,,76226,1980 - 2009,Family or Friend,,"Community/Neighborhood Programs, Planning and Development",,No,751552,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
12:25.0,Because I am not an asshole who doesn’t want to include everyone.,Pass this and ignore the assholes.,,76207,1980 - 2009,City Social Media Account,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,751778,Resident,Property Owner,Non Business Owner,Student,Non Renter,Works outside Denton,Support
13:07.0,,,,76209,1950 - 1979,City Social Media Account,,,,Yes,751779,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Support
28:28.0,The government has no business telling private organizations who they can and cannot allow to be members.,,,None provided,1950 - 1979,Family or Friend,,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation",,,752068,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
57:04.0,This will lead to more needless litigation that will cost small business owners.,"Ensure people are held to existing City, State, and Federal  discrimination laws.",,None provided,1950 - 1979,www.cityofdenton.com,,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Utilities (Water/Wastewater, Electricity)",,No,752204,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
53:31.0,"I do not believe the ordinance ""as Drafted"" is in the best interest of the residents of the City of Denton",It is interesting that you are requiring people to provide their age for a survey about Discrimination,,76210,1950 - 1979,City Social Media Account,,"Public Safety (Police, Fire, Emergency Preparedness",,No,752521,Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
50:50.0,The NDO will cause divisiveness in our city.,I do not want men using ladies’ rest rooms. I would be threatened if male would come in while i was using bathroom.,,76207,1930 - 1949,City Social Media Account,,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Transportation and Infrastructure",,No,755405,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
53:37.0,It discriminate against some entities in the city.,,,None provided,1930 - 1949,Family or Friend,,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,,755407,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
05:47.0,I never want to take away our religious freedom.  I can’t believe our city is even thinking about doing such a thing.  It’s Time for God to take over Denton like it use to be!!  Praying this does not get passed!,,,None provided,1930 - 1949,Family or Friend,,"Planning and Development, Utilities (Water/Wastewater, Electricity)",,Yes,755448,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
35:08.0,"There should  be substantial evidence to show the need for any new ordinance that further increases government authority, power and control over its citizens including property owners. Furthermore I believe that unless that is shown that it should not go any further and waste tax payers resources and time. I can also see the litigation nightmare that tax payers will have to pay to fight this in the courts. 

This seems like an agenda to appease a small group and make certain politicians feel better about themselves. 

We need to instead focus on our huge homeless population that is causing our city to be the dumping ground and laughing stock of DFW.",,,None provided,1980 - 2009,Family or Friend,,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,,755467,Resident,Property Owner,Business Owner,Non Student,Non Renter,Works in Denton,Oppose
42:42.0,This is NOT where the city council should be focused on. There is also laws already in place that protect the LGBTQ community.,"If we allow the city council to work in this area, the next thing will be global warming, and things like abortion sanctuary city's and others. Law makers in Austin and Washington need to be working on those issues",,None provided,1950 - 1979,"Newspaper/Local News, Family or Friend",,"Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity)",,Yes,755475,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works in Denton,Oppose
36:01.0,I do not support the idea of gender identity or sexual orientation as concepts to be protected against discrimination.,I resent whoever is pushing this for trying to use government and ordinances to advance social agendas which I am totally opposed to.,,76208,1950 - 1979,Family or Friend,,"Natural Environment/Resource Conservation, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity)",,Yes,755512,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
18:48.0,"Sexual identity and gender preference should not be considered a protected class. As seen in other counties  that have adopted similar policies it opens the door to sexual abuse in many places including bathrooms and detention centers. It makes women more vulnerable to predators and it threatens the rights of God fearing people. Even if you say there are religious exemptions, this will embolden these people to sue and trample on the rights of Christians.","City of Denton, don’t be so eager to follow the trend of the world. Hold back and evaluate the lawsuits other places are starting to deal with that have adopted this type of ordinance. We don’t need that type of trouble here. I’m disappointed this was trying to be passed as an ordinance. I would have preferred to see something so grave be clearly stated on a ballot which would have been more public. Also I’m not for this ordinance at all, but if it were to pass, I would want to see a super harsh punishment identified for those who falsely accuse and for those who take advantage of the ordinance to commit crimes.",,76208,1980 - 2009,Family or Friend,,"Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure",,Yes,755563,Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
17:42.0,"I believe that all are created equal, but not all beliefs are equal.  My beliefs are not important to those that do not share them.  I do not want my child to be taught anything about sex or sexual identity by anyone that does not also present the biblical beliefs about sex and sexual identity.  If this ordinance passes, then I expect that two classes be offered so that liberal AND conservative beliefs are shared.  As a teacher, the thought of adding one more thing to “teach” is laughable.  We have students that can’t read or solve simple math problems!  This is insanity!  It’s also immoral to a great number of people.",,,76201,1950 - 1979,Family or Friend,,"Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness",,,755656,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
26:09.0,"I don't see that this is at all necessary. More and more laws and ordinances? No, and I am the mother of a special needs child.  But this is entirely different than ""protecting""  the scheduling of drag queens in the public library for children's storytime, where I suspect this proposed ordinance eliminates from.",This is NOT needed.,,76205,1950 - 1979,Family or Friend,,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Transportation and Infrastructure",,Yes,755664,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
12:55.0,There are already laws in place to protect against discrimination. What has been drafted here is going above and over the law.  I view this hidden attempt to change the law as dangerous and the potential harm to the rights of people of faith and innocent children would be grievous.,,,76201,1950 - 1979,Family or Friend,,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Parks and Recreation",,Yes,755725,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
12:35.0,"Sexual assault on women and girls happens in secluded places such as stairwells and bathrooms, a copious police reports around the country and in Texas have proven for years. Predators are attracted to locker rooms, changing rooms, and bathrooms because potential victims are in various states of undress. There is NO test standard about WHICH men go into a women's/girl's bathroom, or WHY. Why give potential predators access to women and girls when they are most vulnerable? There are already facilities for everyone to use when they need a bathroom. There isn't any need to put women and girls at risk like this. It's just political grand-standing and our women and girls will pay the price. Knowing ahead of time that bathrooms are a place of special vulnerability for women and girls, the City Council would be negligent and liable for any exposure, invasion of privacy, photography, sexual assault, or rape that happens as a result of this ordinance.","My friends in all my circles -- family, church, neighborhood, work, scouts, school, sports teams -- will be watching closely to see if the City Council does the right thing by rejecting this dangerous ordinance. Please protect a business owner's right to keep women and girls safe in their bathrooms, changing rooms, and locker rooms.",,76226,1950 - 1979,Family or Friend,,"Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Transportation and Infrastructure",,Yes,755838,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
56:16.0,"This ordinance is an unnecessary and unjustified intrusion into the religious liberty convictions of many of Denton’s citizens.  The United States constitution guarantees freedom of religion, not simply freedom of worship. In other words, religion is understood by most people as a holistic lifestyle where all of life is brought under the influence of God and his Word. It necessarily entails the practices of religion throughout the week (not simply the beliefs of religion stated on Sunday). This includes on the job, in our social gatherings, and in every other part of life. . It includes being able to make decisions in commerce and personal life that are a reflection of God's will as sincerely understood.",,,None provided,1950 - 1979,Family or Friend,,"Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity)",,No,755894,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
26:18.0,"As a business owner ordinance is not pro business. The ordinance is not taking into account the business owners right to hire based on the person best qualified for the job. The ordinance is one sided and places all the burden on the business owner. A complaint can be filed and the owner is guilty before proven innocent. This is not how a government should work. On top of that , a fine and misdemeanor for the business owner. Why would anyone want to open a business in Denton?",,,76208,1950 - 1979,www.cityofdenton.com,,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness",,Yes,755914,Resident,Property Owner,Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
10:09.0,"In its current state, religious liberties are limited. Religious freedom is a hallmark of our nation and state.",This is certainly not needed.,,76205,1950 - 1979,Family or Friend,,"Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation",,Yes,755960,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
11:05.0,"As I understand it, any employee would be legally protected teach pre-K, elementary aged kids, even in charter schools/classical academies-- on issues of transgender and sexual preference. In addition,  churches could be forced to hire people who do not hold to biblical morality. As I see it, Denton will become the hotbed for litigation, and that is not in the best interest of the majority of citizens",,,None provided,1930 - 1949,Family or Friend,,Planning and Development,,No,755961,Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
19:20.0,It is unnecessary. These special interest groups are already protected under State and Federal law. This will open the city of Denton up to lawsuits and the expense that accompanies them.,This NDO will essentially become a bathroom bill. It prevents Christian business owners the freedom to run their business as they see fit and according to their strongly held religious beliefs.,,76210,1950 - 1979,Family or Friend,,"Natural Environment/Resource Conservation, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,755966,Resident,Property Owner,Business Owner,Non Student,Non Renter,Works in Denton,Oppose
44:26.0,It is a violation of freedom of religion as there is no exclusion for places of worship to continue in their strongly held beliefs that God created men to be men and women to be women. This forces places of worship to adhere to beliefs systems outside and contrary to God's written Word to mankind.,If the City insists on adding this Ordinance in defiance of faith based citizens they must add language that is does not violate freedom of religion.,,None provided,1950 - 1979,"Family or Friend, City Social Media Account",,"Community/Neighborhood Programs, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure",,Yes,755997,Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
48:49.0,"I am afraid this ordinance opens the door to some major problems in the area for gender preferences. ie bathrooms, sports, etc. Biologically & scientifically there are only 2 genders. People may choose to believe they are anything they want but don’t force their perversion on the rest of the community. The percentage of those with perceived gender issues is minuscule compared to the total population of Denton. 

Let’s show some common sense & quit being sucked into the WOKE philosophy.",,,76210,1930 - 1949,"Family or Friend, City-sponsored Event",,"Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation",,,756002,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
46:27.0,It sounds like a private business owner must allow anyone to use whatever bathroom they choose. Based on the FAQ it seems that's the case. There seems to be clearly two sides to this issue. The NDO clearly favors one side.,"Was there an issue, incident or event that caused the NDO to be written?",,None provided,1950 - 1979,City Social Media Account,,Planning and Development,,No,756114,Resident,Property Owner,Business Owner,Non Student,Non Renter,Works in Denton,Oppose
17:40.0,,,,76210,1950 - 1979,Family or Friend,,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Transportation and Infrastructure",,No,756193,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
21:27.0,I see no need to implement a new law against bad behavior which rarely occurs.,"As the city legal department stated during the work session I watched online, the cities that have already implemented a similar ordinance have not experienced a need to enforce it.",,76207,1930 - 1949,www.cityofdenton.com,,"Public Safety (Police, Fire, Emergency Preparedness, Transportation and Infrastructure",,Yes,756201,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
46:43.0,"Our family firmly stands that there are two genders (male and female). This is decided by God and is not something up for one’s own choosing. 

Allowing for this ordinance poses safety concerns regarding private places such as restrooms.",,,76208,1980 - 2009,City Social Media Account,,,,,756236,Resident,Non Property Owner,Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
46:21.0,"Though only a portion of the ordinance draft would download, I was able to read enough to know that I disagree with it. The addition of sexual orientation and gender identity confuses our society all the more than it is already. I can treat everyone kindly without having to try to identify their feelings about their own identity. Rather than causing ""peace"" it drives a wedge between people. It causes us to live in fear. So many are ready to sue or retaliate that people can no longer simply deal openly and in a straightforward manner. 
The constitution does not deal with sexual orientation or gender identity. These are new concepts in our current, confused society. Please do not pass this ordinance as it will harm the greater good rather than ""protect"" the small percentage of our community who fear that the rest of us are going to treat them badly. God says to love one another as He has loved us. I can extend His love without agreeing with another. If you pass this ordinance, it will only serve to open the doorway to more and more groups and things will continually need amending as it will never end.
I moved here from Austin 7 years ago after living there for 36 years. These sorts of liberal policies have ruined the city I loved. I was saddened after moving here to discover that Denton wanted to be just like Austin. It has become a dangerous and dark place to live.","This ordinance gives power to a few, a group which can become militant and force issues on society as a whole.",,76209,1950 - 1979,Family or Friend,,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity)",,Yes,756313,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
47:45.0,"This ordinance actually increases the amount of discrimination in Denton. It does not help the problem at hand, but rather make it worse. It further creates an attitude of difference and discrimination by pointing out differences, rather than treating each other as equals and with respect, regardless of someone’s race, gender identity, etc. And just how businesses have had the freedom to require masks or not based on their personal values, they should also have the freedom to hire, rent, etc. people based on their own personal values. Not because of that particular example, just as a general over arching rule – people should have the right to make choices about their lives and businesses based on their own personal values. Just because someone does not have the same values as another person does not mean automatically that they are racist, hateful, or a bigot.  this anti-discrimination ordinance assumes just that. This ordinance is taking away the freedoms of our citizens including the freedom of speech and freedom of religion. This is not compatible with a free society, like the one we live in. This is one step closer to a communistic and socialist way of thinking and it is a very dangerous path that we are going down if this ordinance is passed as is. Please do not pass this ordinance for the city of Denton.",,,None provided,1980 - 2009,Family or Friend,,,,Yes,756316,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
06:02.0,"I believe this would radically change Denton for the worse. For the sake of our children we need to discriminate against certain teachings and beliefs among our educators..for Christian institutions, we need to be able to vet the morality and ethics of the candidates and select according to their morality.",Biblical morals are not suggestions. They are the way of the Creator of our universe.,,None provided,1950 - 1979,Family or Friend,,"Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Trash, Recycling, and Composting",,No,756338,Resident,Non Property Owner,Non Business Owner,Non Student,Renter,Works in Denton,Oppose
41:27.0,I oppose this Ordinance because it  is discriminatory against the freedoms and rights of business owners,"This ordinance could only exist in a society that has radically departed from a Judeo Christian Ethic.  Seeing as this Ethic has established the Western World in only 2000 years from an association of illiterate tribes to cultures overflowing with so much abundance that they can aid and abet the rest of the world during times of crisis, no westerner should support a decision that so radically rejects and risks undermining our position as does this proposed ordinance.",,76210,1950 - 1979,Family or Friend,,Other,,,756370,Resident,Non Property Owner,Business Owner,Non Student,Non Renter,Works in Denton,Oppose
11:27.0,Giving a transgender person the right to choose a restroom that is not the sex they were born with puts children and women in harms way. https://www.illinoistimes.com/springfield/transgender-inmate-accused-of-rape/Content?oid=11867999,,,76227,1950 - 1979,Other,,"Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation",,Yes,756407,Non Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
39:32.0,"While this ordinance seeming to promote good, my gut tells me this is a very divisive and harmful ordinance.  I oppose it.",Please do NOT pass this ordinance.,,None provided,1950 - 1979,Family or Friend,,"Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,No,756451,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
59:44.0,"Property owners should have the right to evaluate individuals' who will have access to, reside on, and make use of one's property. Just like an idividual wouldn't let just anyone borrow their new Cadillac, or hand over a copy of their house key. The owner must be given the right to decide.",,,76208,1980 - 2009,Family or Friend,,Community/Neighborhood Programs,,Yes,756473,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
15:11.0,,,,76205,1950 - 1979,"Newspaper/Local News, City Social Media Account",,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Parks and Recreation, Transportation and Infrastructure, Trash, Recycling, and Composting",,Yes,756485,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
33:59.0,"The inclusion of bathrooms in the ordinance. As a Christian, I oppose allowing people of one sex from using a bathroom of the opposite sex. Passing this ordinance would require a business owner to allow transgenders to us the bathroom of their choice, which would go against a Christian business owner's religious beliefs.",,,76209,1930 - 1949,Family or Friend,,"Public Safety (Police, Fire, Emergency Preparedness, Utilities (Water/Wastewater, Electricity)",,No,756508,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
03:22.0,"Gender identity and sexual orientation are feelings and do no represent actual reality for an individual, as sex does.  Sex is a physical reality for every individual, no matter what their feelings may be.  If one feels like a chicken, should we put laws in place that protect that person from discrimination because he/she dresses like a chicken and requires chicken feed to be served with normal food at the work cafeteria?","Please work harder to protect families.  Texas is one of the last States to keep church and family as high priorities.  Most Texans, Dentonites and American's do not agree with the purpose of this type of ordinance.  Please represent those who put you in your job.",,76209,1950 - 1979,www.cityofdenton.com,,"Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity)",,Yes,756617,Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
04:34.0,"Restrooms SHOULD NOT BE INCLUDED. 

Any business entity which has restrooms for more than one individual to use at the same time has restrooms marked for each sex as, as assigned at birth 
Said sex was determined by the anatomical attributes of said individual.

By not excluding restrooms, those individuals who have not completed the gender transformation, are identifying for the day or moment as one who is a different sex than that assigned at birth, and use a restroom marked for other than their ""birth"" sex, are infringing on the privacy and rights of those of the appropriate gender who are using said restroom.

In order for establishments to comply, so as to not to infringe upon the rights of those who are using a restroom marked for their ""birth"" sex, said establishments would have to redesign or remove any restrooms which allow multiple individuals to use at the same time. Thus you are creating a financial hardship for the establishment, and are limiting the number of ""facilities"" available (think a football stadium) to be used at any moment

Other businesses have restrooms for single individual usage with signage denoting that either sex can use. Since it is a single use, no issue is involved.

Thus you are DISCRIMINATING against businesses that have simultaneous multi usage facilities.","The City Council of Denton has already practiced DISCRIMINATION IN THEIR REDISTRICTING map. One of the rationales for said was to put people of ""LIKE"" together, basing that ""LIKE"" on age, thus age discrimination was clearly applied by the council. 

Additionally, having such a law requirement is an ex post facto law.",,None provided,1930 - 1949,"Newspaper/Local News, www.cityofdenton.com, Family or Friend",,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity)",,No,756618,Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
28:14.0,"I do not agree that you should allow boys in girls bathrooms or girls in boys bathrooms! With the rise in trafficking and child sexual abuse it is imperative to protect children and girls/boys from being victims of any crime. This will just increase the crime and allow more access to children. Safety should be your number one priority and this is not it! Nor does this constitute discrimination in any way. Biology and God says there are two genders, male and female that’s it period! Please protect children from being preyed upon more easily. Think safety please!!",See above. Safety people safety! It’s your job and ours as parents to protect our children!,,76249,1980 - 2009,Family or Friend,,"Public Safety (Police, Fire, Emergency Preparedness, Trash, Recycling, and Composting",,No,756641,Non Resident,Non Property Owner,Non Business Owner,Student,Non Renter,Works outside Denton,Oppose
32:48.0,Violates 1st amendment. Why should a private business be forced to violate religious principles?,,,76209,1950 - 1979,Family or Friend,,"Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,756742,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
26:07.0,,,,76205,1950 - 1979,Family or Friend,,"Planning and Development, Utilities (Water/Wastewater, Electricity)",,No,756776,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
53:41.0,"While I applaud the concept I feel that in our community there are ""combative"" activists that will use the ordinance to assault local businesses and organizations in a negative manner.  Businesses and organizations that exhibit no ill will or behavior toward these protected classes at this time.",,,76205,1930 - 1949,City Social Media Account,,"Community/Neighborhood Programs, Planning and Development, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,No,756802,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
24:19.0,The City of Denton needs to be able to enforce the rights of all it's  citizens.,,,None provided,1950 - 1979,"Family or Friend, City Social Media Account",,"Natural Environment/Resource Conservation, Sustainability, Community/Neighborhood Programs, Planning and Development, Public Safety (Police, Fire, Emergency Preparedness, Parks and Recreation, Transportation and Infrastructure, Utilities (Water/Wastewater, Electricity), Trash, Recycling, and Composting",,Yes,756812,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Support
34:17.0,,,,None provided,1980 - 2009,,,,,No,756842,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
33:21.0,I don’t believe there is sufficient penalty for false accusations. I think the accuser should suffer the consequence they wanted for the other party  in order to deter false accusations.,"I don’t support this kind of ordinance, especially in connection to trying to regulate bathroom admittance. The ladies restroom will be disproportionately affected.",,76208,1980 - 2009,Family or Friend,,,,Yes,756888,Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
46:21.0,,,,76249,1950 - 1979,Family or Friend,,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness",,Yes,756893,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Oppose
35:33.0,"It is unnecessary. People are NOT being discriminated against in Denton.
This is taking away the civil rights of people’s religious convictions.
This is governmental tyranny trying to force one subcultures values on another’s.
Imagine an ordinance forcing an Abortionist to hire pro-adoption Catholics?
Further this is a completely manufactured crisis. Nobody is denying anyone from joining any organization that they truly want to be part of!
This must not be allowed to erode civil rights of anyone!","No Discrimination Ordinance is required. This is simply Leftist activism, to restrict the rights and views of everyone who may not embrace their set of values.",I serve those in need in Denton,76201,1980 - 2009,City Social Media Account,,"Planning and Development, Public Safety (Police, Fire, Emergency Preparedness",,No,745208,Resident,Property Owner,Business Owner,Student,Renter,Works in Denton,Oppose
54:13.0,"Safety concerns, Religious beliefs",,Do business in Denton,None provided,1980 - 2009,Family or Friend,,,,No,756325,Non Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
20:27.0,It is not needed.,Please drop this from your agenda.,,None provided,1930 - 1949,Other,Citizen Connection,"Planning and Development, Parks and Recreation, Utilities (Water/Wastewater, Electricity)",,Yes,723487,Resident,Property Owner,Non Business Owner,Non Student,Non Renter,Works outside Denton,Oppose
27:24.0,This is an important ordinance to move Denton forward,This will put us out front as compared with other Texas cities in the advancement of human rights,,76208,1950 - 1979,Other,email,"Community/Neighborhood Programs, Public Safety (Police, Fire, Emergency Preparedness",,,723509,Resident,Non Property Owner,Non Business Owner,Non Student,Non Renter,Works in Denton,Support
